,name,mass,fall,year,reclat,reclong
37613,Sierra County,1000.0,Found,01/01/1962,33.0,-107.5
13279,Grosvenor Mountains 95507,1000.0,Found,01/01/1995,-85.66667,175.0
30781,Northwest Africa 7863,1000.0,Found,01/01/2013,0.0,0.0
21686,Los Cerrillos,1000.0,Found,01/01/2006,-28.9725,-63.341111
26337,Namib Desert,1000.0,Found,01/01/1979,-24.75,15.366670000000001
37747,Summit,1000.0,Found,01/01/1890,34.2,-86.48333000000001
30469,Northwest Africa 740,1000.0,Found,01/01/2000,30.25,-4.41667
30260,Northwest Africa 7112,1000.0,Found,01/01/2011,0.0,0.0
30971,Okechobee,1000.0,Found,01/01/1916,26.683329999999998,-80.8
16654,Jiddat al Harasis 119,1000.0,Found,01/01/2004,19.77455,56.72408000000001
13258,Grosvenor Mountains 85205,999.9,Found,01/01/1985,-85.66667,175.0
17452,Lahmada 016,998.0,Found,01/01/1998,27.23,-9.75667
7673,Dhofar 288,996.0,Found,01/01/2001,18.49333,54.13333000000001
7403,Dhofar 1590,996.0,Found,01/01/2004,18.95167,54.281169999999996
30470,Northwest Africa 7401,995.59,Found,01/01/2012,0.0,0.0
28846,Northwest Africa 4643,995.3,Found,01/01/2006,0.0,0.0
29546,Northwest Africa 5814,995.0,Found,01/01/2006,0.0,0.0
8197,Dhofar 836,995.0,Found,01/01/2000,18.348670000000002,54.214
4966,Asuka 882102,992.45,Found,01/01/1988,-72.0,26.0
22888,Maldyak,992.0,Found,01/01/1939,63.333330000000004,148.16666999999998
1218,Acfer 104,992.0,Found,01/01/1990,27.633329999999997,4.36667
5227,Buckleboo,992.0,Found,01/01/1963,-32.95556,136.1375
6273,Dar al Gani 501,992.0,Found,01/01/1997,27.30033,16.177670000000003
24405,Miller Range 07029,991.1,Found,01/01/2007,0.0,0.0
38136,Umm as Samim 003,991.0,Found,01/01/2001,21.32,56.416669999999996
19144,Larkman Nunatak 06300,990.3,Found,01/01/2006,0.0,0.0
5750,Dar al Gani 037,990.0,Found,01/01/1995,27.107670000000002,16.323829999999997
29560,Northwest Africa 5829,990.0,Found,01/01/2008,0.0,0.0
30475,Northwest Africa 741,989.0,Found,01/01/2000,30.25,-4.41667
16019,Hammadah al Hamra 044,989.0,Found,01/01/1994,29.25067,11.251669999999999
35646,Ramlat as Sahmah 234,988.4,Found,01/01/2005,20.01812,56.42171999999999
30348,Northwest Africa 7239,988.0,Found,01/01/2011,0.0,0.0
8035,Dhofar 664,988.0,Found,01/01/2001,19.1046,54.80945
1225,Acfer 111,987.0,Found,01/01/1990,27.48333,3.8
7811,Dhofar 432,986.0,Found,01/01/2001,18.6203,54.642830000000004
3446,Arch,985.8,Found,01/01/1972,34.15,-103.22
16755,Jiddat al Harasis 292,985.2,Found,01/01/2005,19.789179999999998,56.480230000000006
6949,Dhofar 054,985.0,Found,01/01/1999,19.14217,54.78683
7508,Dhofar 1701,984.0,Found,01/01/2010,18.52065,54.47985
37703,Spruce 001,983.0,Found,01/01/2011,40.801,-114.701
16244,Hammadah al Hamra 267,983.0,Found,01/01/2000,28.438,12.82933
35806,Ramlat as Sahmah 395,982.5,Found,01/01/2010,20.1469,55.709219999999995
